Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total
January 31 2017,7688,14741,22429
February 28 2017,7889,15209,23098
March 31 2017,8093,15599,23692
April 30 2017,8287,16108,24395
May 31 2017,8497,16573,25070
June 30 2017,8751,16991,25742
July 31 2017,8931,17384,26315
August 31 2017,9147,17682,26829
September 30 2017,9374,18082,27456
October 31 2017,9649,18527,28176
November 30 2017,9888,18880,28768
December 31 2017,10120,19188,29308
January 31 2018,10534,19736,30270
February 28 2018,10833,19980,30813
March 31 2018,11180,20397,31577
April 30 2018,11514,20928,32442
May 31 2018,11933,21705,33638
June 30 2018,12356,22438,34794
July 31 2018,12649,22988,35637
August 31 2018,12963,23583,36546
September 30 2018,13292,24167,37459
October 31 2018,13640,25524,39164
November 30 2018,14020,26786,40806
December 31 2018,14343,27727,42070
January 31 2019,14725,29116,43841
February 28 2019,14890,29693,44583
March 31 2019,15038,30034,45072
April 30 2019,15293,31055,46348
May 31 2019,15558,31751,47309
June 30 2019,15807,32582,48389
July 31 2019,16070,33564,49634
August 31 2019,16274,34313,50587
September 30 2019,16506,35080,51586
October 31 2019,16787,36656,53443
November 30 2019,16959,37107,54066
December 31 2019,17130,37760,54890
January 31 2020,17353,39790,57143
February 29 2020,17465,40272,57737
March 31 2020,17605,41005,58610
April 30 2020,17564,41355,58919
May 31 2020,17578,41351,58929
June 30 2020,17678,41614,59292
July 31 2020,17814,43015,60829
August 31 2020,17961,43612,61573
September 30 2020,18172,44182,62354
October 31 2020,18426,45199,63625
November 30 2020,18601,46558,65159
December 31 2020,18891,47355,66246
January 31 2021,19223,48922,68145
February 28 2021,19511,49790,69301
March 31 2021,19868,50613,70481
April 30 2021,20323,52476,72799
May 31 2021,20724,53721,74445
June 30 2021,21312,54838,76150
July 31 2021,21714,56886,78600
August 31 2021,22128,58407,80535
September 30 2021,22455,59606,82061
October 31 2021,22867,61328,84195
November 30 2021,23277,62963,86240
December 31 2021,23555,64466,88021
January 31 2022,23890,66058,89948
February 28 2022,24194,67655,91849
March 31 2022,24648,69252,93900
April 30 2022,25006,71652,96658
May 31 2022,25472,73037,98509
June 30 2022,25983,74719,100702
July 31 2022,26288,77171,103459
August 31 2022,26740,79478,106218
September 30 2022,27073,80943,108016
October 31 2022,27422,84205,111627
November 30 2022,27765,87493,115258
December 31 2022,28184,89844,118028
January 31 2023,28713,93117,121830
February 28 2023,29262,95564,124826
March 31 2023,29939,98158,128097
April 30 2023,30867,101545,132412
May 31 2023,31684,105115,136799
June 30 2023,32578,108861,141439
July 31 2023,33242,112594,145836
August 31 2023,34183,118284,152467
September 30 2023,35109,122002,157111
October 31 2023,35991,126382,162373
November 30 2023,36747,129794,166541
December 31 2023,37494,133549,171043
January 31 2024,38684,138126,176810
February 29 2024,39521,141914,181435
March 31 2024,40334,144532,184866
April 30 2024,41285,148242,189527
May 31 2024,41988,151611,193599
June 30 2024,42563,153698,196261
July 31 2024,43411,157860,201271
August 31 2024,43900,161539,205439
